iter	Passed	Remaining
406	2082	3034
407	2085	3025
408	2087	3016
409	2089	3006
410	2091	2997
411	2097	2993
412	2102	2988
413	2104	2979
414	2107	2970
415	2112	2965
416	2116	2958
417	2118	2949
418	2120	2940
419	2122	2931
420	2127	2925
421	2134	2922
422	2136	2914
423	2139	2906
424	2144	2901
425	2149	2896
426	2153	2890
427	2159	2886
428	2164	2880
429	2166	2871
430	2169	2864
431	2177	2863
432	2179	2854
433	2181	2845
434	2183	2836
435	2188	2831
436	2190	2822
437	2193	2814
438	2196	2806
439	2198	2798
440	2206	2796
441	2209	2789
442	2211	2780
443	2213	2771
444	2220	2769
445	2224	2762
446	2227	2755
447	2235	2754
448	2239	2748
449	2242	2741
450	2244	2732
451	2247	2725
452	2249	2716
453	2254	2711
454	2264	2712
455	2268	2706
456	2270	2698
457	2275	2693
458	2314	2727
459	2316	2719
460	2318	2711
461	2323	2705
462	2325	2697
463	2327	2688
464	2329	2680
465	2331	2671
466	2333	2663
467	2335	2654
468	2338	2647
469	2340	2638
470	2341	2630
471	2343	2622
472	2346	2614
473	2348	2605
474	2352	2600
475	2354	2591
476	2356	2583
477	2358	2575
478	2360	2567
479	2362	2559
480	2366	2553
481	2369	2546
482	2371	2537
483	2373	2530
484	2375	2522
485	2377	2514
486	2381	2508
487	2384	2501
488	2385	2493
489	2387	2485
490	2389	2477
491	2391	2469
492	2393	2461
493	2398	2456
494	2400	2449
495	2403	2442
496	2406	2435
497	2408	2427
498	2412	2422
499	2414	2414
500	2416	2406
501	2418	2399
502	2421	2392
503	2423	2384
504	2428	2380
505	2430	2372
506	2432	2365
507	2434	2357
508	2436	2350
509	2438	2343
510	2443	2337
511	2445	2330
512	2447	2323
513	2450	2316
514	2452	2309
515	2458	2306
516	2464	2302
517	2467	2296
518	2473	2292
519	2477	2287
520	2479	2279
521	2482	2273
522	2485	2266
523	2490	2262
524	2493	2256
525	2495	2249
526	2500	2243
527	2506	2240
528	2508	2233
529	2562	2271
530	2563	2264
531	2565	2257
532	2570	2252
533	2572	2244
534	2574	2237
535	2576	2230
536	2578	2223
537	2580	2216
538	2585	2211
539	2587	2203
540	2589	2196
541	2592	2190
542	2594	2183
543	2596	2176
544	2600	2171
545	2603	2164
546	2606	2158
547	2608	2151
548	2610	2144
549	2612	2137
550	2615	2130
551	2617	2123
552	2618	2116
553	2622	2110
554	2624	2104
555	2631	2101
556	2633	2094
557	2637	2088
558	2639	2082
559	2644	2077
560	2648	2072
561	2653	2067
562	2655	2060
563	2660	2056
564	2663	2050
565	2667	2045
566	2670	2039
567	2675	2034
568	2678	2028
569	2681	2022
570	2684	2016
571	2690	2012
572	2693	2006
573	2695	2000
574	2697	1993
575	2700	1987
576	2704	1983
577	2707	1976
578	2709	1969
579	2711	1963
580	2713	1956
581	2715	1950
582	2717	1943
583	2719	1937
584	2723	1931
585	2725	1925
586	2727	1918
587	2729	1912
588	2735	1908
589	2737	1902
590	2741	1897
591	2744	1891
592	2750	1887
593	2793	1909
594	2801	1906
595	2806	1902
596	2809	1896
597	2840	1909
598	2843	1903
599	2852	1901
600	2854	1895
601	2856	1888
602	2858	1881
603	2860	1875
604	2862	1869
605	2865	1862
606	2867	1856
607	2869	1850
608	2872	1844
609	2874	1837
610	2876	1831
611	2879	1825
612	2881	1819
613	2883	1812
614	2885	1806
615	2887	1799
616	2891	1795
617	2893	1788
618	2895	1782
619	2897	1776
620	2899	1769
621	2901	1763
622	2906	1759
623	2909	1752
624	2910	1746
625	2912	1740
626	2914	1733
627	2916	1727
628	2921	1723
629	2923	1717
630	2925	1710
631	2928	1704
632	2930	1698
633	2932	1693
634	2937	1688
635	2939	1682
636	2942	1676
637	2947	1672
638	2953	1668
639	2955	1662
640	2958	1656
641	2960	1651
642	2967	1647
643	2969	1641
644	2972	1635
645	2974	1630
646	2983	1627
647	2985	1621
648	2988	1616
649	2994	1612
650	2997	1606
651	3000	1601
652	3002	1595
653	3004	1589
654	3006	1583
655	3008	1577
656	3010	1571
657	3015	1567
658	3017	1561
659	3018	1555
660	3020	1549
661	3022	1543
662	3024	1537
663	3027	1531
664	3030	1526
665	3032	1520
666	3034	1514
667	3036	1509
668	3038	1503
669	3040	1497
670	3044	1492
671	3047	1487
672	3049	1481
673	3051	1475
674	3053	1470
675	3055	1464
676	3058	1459
677	3061	1453
678	3063	1448
679	3065	1442
680	3068	1437
681	3070	1431
682	3073	1426
683	3076	1421
684	3078	1415
685	3080	1409
686	3082	1404
687	3084	1398
688	3086	1393
689	3090	1388
690	3092	1382
691	3093	1377
692	3095	1371
693	3098	1366
694	3100	1360
695	3104	1355
696	3106	1350
697	3107	1344
698	3109	1339
699	3112	1333
700	3114	1328
701	3116	1322
702	3119	1318
703	3121	1312
704	3123	1306
705	3125	1301
706	3127	1296
707	3129	1290
708	3132	1285
709	3134	1280
710	3136	1274
711	3138	1269
712	3140	1264
713	3142	1258
714	3144	1253
715	3148	1248
716	3150	1243
717	3152	1238
718	3155	1233
719	3157	1227
720	3159	1222
721	3160	1217
722	3164	1212
723	3167	1207
724	3169	1202
725	3208	1211
726	3216	1207
727	3218	1202
728	3220	1197
729	3223	1192
730	3225	1186
731	3228	1181
732	3230	1176
733	3232	1171
734	3234	1166
735	3237	1161
736	3242	1156
737	3244	1151
738	3246	1146
739	3249	1141
740	3251	1136
741	3254	1131
742	3258	1127
743	3261	1122
744	3263	1116
745	3264	1111
746	3269	1107
747	3273	1102
748	3275	1097
749	3277	1092
750	3280	1087
751	3282	1082
752	3286	1078
753	3289	1073
754	3291	1068
755	3294	1063
756	3296	1058
757	3298	1053
758	3306	1049
759	3309	1045
760	3312	1040
761	3314	1035
762	3320	1031
763	3322	1026
764	3325	1021
765	3327	1016
766	3329	1011
767	3335	1007
768	3337	1002
769	3340	997
770	3341	992
771	3343	987
772	3346	982
773	3352	978
774	3354	973
775	3356	968
776	3360	964
777	3365	960
778	3367	955
779	3369	950
780	3371	945
781	3373	940
782	3375	935
783	3379	931
784	3381	926
785	3383	921
786	3385	916
787	3387	911
788	3389	906
789	3391	901
790	3394	896
791	3396	892
792	3398	887
793	3400	882
794	3402	877
795	3436	880
796	3438	875
797	3442	871
798	3444	866
799	3446	861
800	3448	856
801	3450	851
802	3452	847
803	3455	842
804	3457	837
805	3459	832
806	3461	827
807	3463	823
808	3466	818
809	3467	813
810	3471	809
811	3473	804
812	3475	799
813	3477	794
814	3479	789
815	3481	785
816	3483	780
817	3486	775
818	3488	771
819	3490	766
820	3492	761
821	3494	756
822	3496	752
823	3498	747
824	3501	742
825	3503	738
826	3505	733
827	3507	728
828	3509	723
829	3511	719
830	3513	714
831	3515	709
832	3517	705
833	3520	700
834	3522	696
835	3524	691
836	3526	686
837	3529	682
838	3531	677
839	3534	673
840	3535	668
841	3537	663
842	3539	659
843	3541	654
844	3545	650
845	3547	645
846	3549	641
847	3551	636
848	3553	632
849	3555	627
850	3557	622
851	3561	618
852	3563	614
853	3565	609
854	3567	605
855	3569	600
856	3571	595
857	3575	591
858	3578	587
859	3580	582
860	3581	578
861	3583	573
862	3585	569
863	3587	564
864	3591	560
865	3593	556
866	3596	551
867	3598	547
868	3600	542
869	3602	538
870	3606	534
871	3608	529
872	3610	525
873	3612	520
874	3614	516
875	3615	511
876	3617	507
877	3621	503
878	3623	498
879	3625	494
880	3627	489
881	3629	485
882	3648	483
883	3653	479
884	3656	475
885	3658	470
886	3660	466
887	3661	461
888	3663	457
889	3668	453
890	3670	448
891	3672	444
892	3674	440
893	3676	435
894	3678	431
895	3683	427
896	3685	423
897	3687	418
898	3690	414
899	3692	410
900	3694	405
901	3698	401
902	3701	397
